# ----------------------------------------
# elektrischefietsen.com ALLE_DATA
# Top Events
# 20181001-20190812
# ----------------------------------------

Event Label,Page,Total Events,Unique Events,Event Value,Avg. Value
https://www.fietsenwinkel.nl/stromer-st3-800wh-sport-45km,/p/stromer-st3-800wh-sport-45km/,11,11,0,0.00
https://www.fietsnetwerk.nl/fietsroutes/fietsroute-brabantse-sprookjes/,/fietsroutes-noord-brabant/,11,11,0,0.00
https://www.fietsnetwerk.nl/fietsroutes/fietsroute-naar-de-korte-en-de-lange-duinen,/2016/fietsroute-naar-de-korte-en-de-lange-duinen/,11,9,0,0.00
https://www.fietsvoordeelshop.nl/gazelle-orange-c7-plus-hmb-2019-zwart-bruin-mat-dames,/p/gazelle-orange-c7-plus-hmb-2019-dames/,11,11,0,0.00
https://www.flyer-bikes.com/de/flyer_e-bikes_uproc6/,/2018/elektrische-mountainbikes-die-u-kunt-kopen-in-2018/,11,11,0,0.00
https://www.indiegogo.com/projects/leaos-first-solar-charging-e-bike-worldwide,/2014/leaos-eerste-volledig-zonne-energie-geladen-e-bike/,11,11,0,0.00
https://www.internet-bikes.com/bikes/?tt=10107_12_292021_testwinnaaar&r=%2F289995-popal-e-volution-20-28-inch-heren-7v-rollerbrake-blauw%2F,/p/popal-e-volution-2-0-2019/,11,11,0,0.00
https://www.mantel.com/cortina-e-u4-3v?spec%5B%5D=12597&spec%5B%5D=2750,/p/cortina-e-u4-transport-n3-2018-dames/,11,11,0,0.00
https://www.mantel.com/cube-cross-hybrid-one?spec%5B%5D=12598&spec%5B%5D=7008&spec%5B%5D=2749&spec%5B%5D=16991,/p/cube-cross-hybrid-one-500-2019-heren/,11,5,0,0.00
https://www.mantel.com/cube-cross-hybrid-one?spec%5B%5D=7009&spec%5B%5D=12598&spec%5B%5D=2750,/p/cube-cross-hybrid-one-500-2019-heren/,11,9,0,0.00
https://www.merida.nl/merida+e-bikes/#utm_source=elektrischefietsen.com,/p/merida-espresso-sport-800/,11,11,0,0.00
https://www.multicycle.nl/collectie/e-bike/#utm_source=elektrischefietsen.com,/p/multicycle-double-act-sef-2018-heren/,11,9,0,0.00
https://www.multicycle.nl/collectie/e-bike/#utm_source=elektrischefietsen.com,/p/multicycle-expressive-em-2018-lage-instap/,11,11,0,0.00
https://www.multicycle.nl/collectie/e-bike/#utm_source=elektrischefietsen.com,/p/multicycle-legend-ef-2018-lage-instap/,11,11,0,0.00
https://www.multicycle.nl/collectie/e-bike/#utm_source=elektrischefietsen.com,/p/multicycle-tour-ef-dames/,11,11,0,0.00
https://www.multicycle.nl/collectie/e-bike/#utm_source=elektrischefietsen.com,/p/multicycle-xelo-sem-dames/,11,9,0,0.00
https://www.oxfordbikes.be/,/merken/oxford/,11,9,0,0.00
https://www.peterterlouw.nl/cortina-e-u4-m300-2019-7-heren,/p/cortina-e-u4-transport-mm-n7-2019-heren/,11,11,0,0.00
https://www.peterterlouw.nl/gazelle-orange-c7-hms-2019-7-dames,/p/gazelle-chamonix-c7-hms-2018-dames/,11,11,0,0.00
