# ----------------------------------------
# elektrischefietsen.com ALLE_DATA
# Top Events
# 20181001-20190812
# ----------------------------------------

Event Label,Page,Total Events,Unique Events,Event Value,Avg. Value
https://www.elektrischefietsen.com/p/?type%5B%5D=elektrische-damesfietsen&motorpositie%5B%5D=in-het-midden&motortechniek%5B%5D=bafang&motortechniek%5B%5D=bosch&modeljaar%5B%5D=2019-e-bike-collectie&type_versnellingen%5B%5D=naaf#frametype_collapse Frametype https://www.elektrischefietsen.com/p/?type%5B%5D=elektrische-damesfietsen&motorpositie%5B%5D=in-het-midden&motortechniek%5B%5D=bafang&motortechniek%5B%5D=bosch&modeljaar%5B%5D=2019-e-bike-collectie&type_versnellingen%5B%5D=naaf#frametype_collapse,/p/?type[]=elektrische-damesfietsen&motorpositie[]=in-het-midden&motortechniek[]=bafang&motortechniek[]=bosch&modeljaar[]=2019-e-bike-collectie&type_versnellingen[]=naaf,2,2,0,0.00
https://www.elektrischefietsen.com/p/?type%5B%5D=elektrische-damesfietsen&motorpositie%5B%5D=in-het-midden&motortechniek%5B%5D=bafang&motortechniek%5B%5D=bosch&modeljaar%5B%5D=2019-e-bike-collectie&type_versnellingen%5B%5D=naaf#type_collapse Type (elektrische) fiets https://www.elektrischefietsen.com/p/?type%5B%5D=elektrische-damesfietsen&motorpositie%5B%5D=in-het-midden&motortechniek%5B%5D=bafang&motortechniek%5B%5D=bosch&modeljaar%5B%5D=2019-e-bike-collectie&type_versnellingen%5B%5D=naaf#type_collapse,/p/?type[]=elektrische-damesfietsen&motorpositie[]=in-het-midden&motortechniek[]=bafang&motortechniek[]=bosch&modeljaar[]=2019-e-bike-collectie&type_versnellingen[]=naaf,2,2,0,0.00
https://www.elektrischefietsen.com/p/?type%5B%5D=elektrische-damesfietsen&prijs%5B%5D=0-1000#type_collapse Type (elektrische) fiets https://www.elektrischefietsen.com/p/?type%5B%5D=elektrische-damesfietsen&prijs%5B%5D=0-1000#type_collapse,/p/?type[]=elektrische-damesfietsen&prijs[]=0-1000,2,2,0,0.00
https://www.elektrischefietsen.com/p/?type%5B%5D=elektrische-vaderfietsen&motorpositie%5B%5D=in-het-midden#type_collapse Type (elektrische) fiets https://www.elektrischefietsen.com/p/?type%5B%5D=elektrische-vaderfietsen&motorpositie%5B%5D=in-het-midden#type_collapse,/p/?type[]=elektrische-vaderfietsen&motorpositie[]=in-het-midden,2,2,0,0.00
https://www.elektrischefietsen.com/p/?type%5B%5D=speed-pedelecs#frametype_collapse Frametype https://www.elektrischefietsen.com/p/?type%5B%5D=speed-pedelecs#frametype_collapse,/p/?type[]=speed-pedelecs,2,2,0,0.00
https://www.elektrischefietsen.com/p/?type%5B0%5D=e-bike-testwinnaars-2018 1 https://www.elektrischefietsen.com/p/?type%5B0%5D=e-bike-testwinnaars-2018,/p/page/2/?type[0]=e-bike-testwinnaars-2018,2,2,0,0.00
https://www.elektrischefietsen.com/p/?type%5B0%5D=e-bike-testwinnaars-2018&motortechniek%5B0%5D=giant-syncdrive-sport Frametype: elektrische-herenfietsen https://www.elektrischefietsen.com/p/?type%5B0%5D=e-bike-testwinnaars-2018&motortechniek%5B0%5D=giant-syncdrive-sport,/p/?frametype[]=elektrische-herenfietsen&type[]=e-bike-testwinnaars-2018&motortechniek[]=giant-syncdrive-sport,2,2,0,0.00
https://www.elektrischefietsen.com/p/?type%5B0%5D=e-bike-testwinnaars-2018#accupositie_collapse Accupositie https://www.elektrischefietsen.com/p/?type%5B0%5D=e-bike-testwinnaars-2018#accupositie_collapse,/p/?type[0]=e-bike-testwinnaars-2018,2,2,0,0.00
https://www.elektrischefietsen.com/p/?type%5B0%5D=e-bike-testwinnaars-2018#modeljaar_collapse Modeljaar https://www.elektrischefietsen.com/p/?type%5B0%5D=e-bike-testwinnaars-2018#modeljaar_collapse,/p/?type[0]=e-bike-testwinnaars-2018,2,2,0,0.00
https://www.elektrischefietsen.com/p/?type%5B0%5D=e-bike-testwinnaars-2018#motorpositie_collapse Motorpositie https://www.elektrischefietsen.com/p/?type%5B0%5D=e-bike-testwinnaars-2018#motorpositie_collapse,/p/?type[0]=e-bike-testwinnaars-2018,2,2,0,0.00
https://www.elektrischefietsen.com/p/?type%5B0%5D=e-bike-testwinnaars-2018#type_collapse Type (elektrische) fiets https://www.elektrischefietsen.com/p/?type%5B0%5D=e-bike-testwinnaars-2018#type_collapse,/p/?type[0]=e-bike-testwinnaars-2018,2,2,0,0.00
https://www.elektrischefietsen.com/p/?type%5B0%5D=elektrische-damesfietsen&motorpositie%5B0%5D=in-het-midden Motortechniek: panasonic https://www.elektrischefietsen.com/p/?type%5B0%5D=elektrische-damesfietsen&motorpositie%5B0%5D=in-het-midden,/p/?type[]=elektrische-damesfietsen&motorpositie[]=in-het-midden&motortechniek[]=panasonic,2,2,0,0.00
https://www.elektrischefietsen.com/p/?type%5B0%5D=elektrische-damesfietsen&motorpositie%5B0%5D=in-het-midden&accupositie%5B0%5D=onder-de-bagagedrager&orderby=price&order=ASC Prijs laag - hoog https://www.elektrischefietsen.com/p/?type%5B0%5D=elektrische-damesfietsen&motorpositie%5B0%5D=in-het-midden&accupositie%5B0%5D=onder-de-bagagedrager&orderby=price&order=ASC,/p/?type[]=elektrische-damesfietsen&motorpositie[]=in-het-midden&accupositie[]=onder-de-bagagedrager,2,2,0,0.00
https://www.elektrischefietsen.com/p/?type%5B0%5D=elektrische-herenfietsen&orderby=price&order=ASC Prijs laag - hoog https://www.elektrischefietsen.com/p/?type%5B0%5D=elektrische-herenfietsen&orderby=price&order=ASC,/p/?type[]=elektrische-herenfietsen,2,2,0,0.00
https://www.elektrischefietsen.com/p/?type%5B0%5D=elektrische-moederfietsen 1 https://www.elektrischefietsen.com/p/?type%5B0%5D=elektrische-moederfietsen,/p/page/2/?type[0]=elektrische-moederfietsen,2,2,0,0.00
https://www.elektrischefietsen.com/p/?type%5B0%5D=elektrische-moederfietsen Type (elektrische) fiets: elektrische-vaderfietsen https://www.elektrischefietsen.com/p/?type%5B0%5D=elektrische-moederfietsen,/p/?type[0]=elektrische-moederfietsen&type[1]=elektrische-vaderfietsen,2,2,0,0.00
https://www.elektrischefietsen.com/p/?type%5B0%5D=elektrische-moederfietsen&orderby=popularity&order=DESC Populariteit hoog - laag https://www.elektrischefietsen.com/p/?type%5B0%5D=elektrische-moederfietsen&orderby=popularity&order=DESC,/p/?type[0]=elektrische-moederfietsen,2,2,0,0.00
https://www.elektrischefietsen.com/p/?type%5B0%5D=elektrische-moederfietsen&type%5B1%5D=elektrische-vaderfietsen Frametype: extra-lage-instap https://www.elektrischefietsen.com/p/?type%5B0%5D=elektrische-moederfietsen&type%5B1%5D=elektrische-vaderfietsen,/p/?frametype[]=extra-lage-instap&type[]=elektrische-moederfietsen&type[]=elektrische-vaderfietsen,2,2,0,0.00
https://www.elektrischefietsen.com/p/?type%5B0%5D=speed-pedelecs&motorpositie%5B0%5D=in-het-midden&orderby=price&order=ASC Prijs laag - hoog https://www.elektrischefietsen.com/p/?type%5B0%5D=speed-pedelecs&motorpositie%5B0%5D=in-het-midden&orderby=price&order=ASC,/p/?type[]=speed-pedelecs&motorpositie[]=in-het-midden,2,2,0,0.00
https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=email 1 https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=email,/p/page/40/,2,2,0,0.00
https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=email&orderby=popularity&order=DESC Populariteit hoog - laag https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=email&orderby=popularity&order=DESC,/p/,2,2,0,0.00
https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=email&orderby=price&order=ASC Prijs laag - hoog https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=email&orderby=price&order=ASC,/p/,2,2,0,0.00
https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=email&orderby=price&order=ASC Prijs laag - hoog https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=email&orderby=price&order=ASC,/p/?orderby=price&order=DESC,2,2,0,0.00
https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=email&orderby=price&order=ASC#accupositie_collapse Accupositie https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=email&orderby=price&order=ASC#accupositie_collapse,/p/?orderby=price&order=ASC,2,2,0,0.00
https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=email&orderby=price&order=DESC 1 https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=email&orderby=price&order=DESC,/p/page/4/?orderby=price&order=DESC,2,2,0,0.00
https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=email&orderby=price&order=DESC 1 https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=email&orderby=price&order=DESC,/p/page/79/?orderby=price&order=DESC,2,2,0,0.00
https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=email&orderby=price&order=DESC Prijs hoog - laag https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=email&orderby=price&order=DESC,/p/,2,2,0,0.00
https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=email&orderby=title&order=ASC#frametype_collapse2 Frametype https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=email&orderby=title&order=ASC#frametype_collapse2,/p/?orderby=title&order=ASC,2,2,0,0.00
https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=email&orderby=title&order=ASC#type_collapse2 Type (elektrische) fiets https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=email&orderby=title&order=ASC#type_collapse2,/p/?orderby=title&order=ASC,2,2,0,0.00
https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=Nieuwsbrief&utm_campaign=modellen 1 https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=Nieuwsbrief&utm_campaign=modellen,/p/page/3/,2,2,0,0.00
https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=Nieuwsbrief&utm_campaign=modellen 1 https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=Nieuwsbrief&utm_campaign=modellen,/p/page/6/,2,2,0,0.00
https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=Nieuwsbrief&utm_campaign=modellen&orderby=title&order=ASC Naam A - Z https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=Nieuwsbrief&utm_campaign=modellen&orderby=title&order=ASC,/p/,2,2,0,0.00
https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=Nieuwsbrief&utm_campaign=modellen#aantal_versnellingen_collapse Aantal versnellingen https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=Nieuwsbrief&utm_campaign=modellen#aantal_versnellingen_collapse,/p/,2,2,0,0.00
https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=Nieuwsbrief&utm_campaign=modellen#accupositie_collapse Accupositie https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=Nieuwsbrief&utm_campaign=modellen#accupositie_collapse,/p/,2,2,0,0.00
https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=Nieuwsbrief&utm_campaign=modellen#merk Merken https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=Nieuwsbrief&utm_campaign=modellen#merk,/p/,2,2,0,0.00
https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=Nieuwsbrief&utm_campaign=modellen#type_collapse Type (elektrische) fiets https://www.elektrischefietsen.com/p/?utm_source=nieuwsbrief&utm_medium=Nieuwsbrief&utm_campaign=modellen#type_collapse,/p/,2,2,0,0.00
https://www.elektrischefietsen.com/p/#frametype_collapse2 |Frametype |,/p/,2,2,0,0.00
https://www.elektrischefietsen.com/p/#type_collapse2 |Type (elektrische) fiets |,/p/,2,2,0,0.00
https://www.elektrischefietsen.com/p/a-bike-a-bike-electric/#fotos Foto's (5) fotos-content-tab https://www.elektrischefietsen.com/p/a-bike-a-bike-electric/#fotos,/p/a-bike-a-bike-electric/,2,2,0,0.00
https://www.elektrischefietsen.com/p/a-bike-a-bike-electric/#myCarousel Next https://www.elektrischefietsen.com/p/a-bike-a-bike-electric/#myCarousel,/p/a-bike-a-bike-electric/,2,2,0,0.00
https://www.elektrischefietsen.com/p/altec-e-bike-damesfiets-square-n7-grijs-53-cm/#about Specificaties about-content-tab https://www.elektrischefietsen.com/p/altec-e-bike-damesfiets-square-n7-grijs-53-cm/#about,/p/altec-e-bike-damesfiets-square-n7-grijs-53-cm/,2,2,0,0.00
https://www.elektrischefietsen.com/p/ampler-bike-stellar/# Datum nieuwste - eerste https://www.elektrischefietsen.com/p/ampler-bike-stellar/#,/p/ampler-bike-stellar/,2,2,0,0.00
https://www.elektrischefietsen.com/p/ampler-bike-stellar/#fotos Foto's (1) fotos-content-tab https://www.elektrischefietsen.com/p/ampler-bike-stellar/#fotos,/p/ampler-bike-stellar/,2,2,0,0.00
https://www.elektrischefietsen.com/p/ampler-bikes-curt/?tab=reviews#about Specificaties about-content-tab https://www.elektrischefietsen.com/p/ampler-bikes-curt/?tab=reviews#about,/p/ampler-bikes-curt/?tab=reviews,2,2,0,0.00
https://www.elektrischefietsen.com/p/ampler-bikes-curt/#reviews Bekijk alle reviews https://www.elektrischefietsen.com/p/ampler-bikes-curt/#reviews,/p/ampler-bikes-curt/,2,2,0,0.00
https://www.elektrischefietsen.com/p/ampler-bikes-stout/#fotos Foto's (1) fotos-content-tab https://www.elektrischefietsen.com/p/ampler-bikes-stout/#fotos,/p/ampler-bikes-stout/,2,2,0,0.00
https://www.elektrischefietsen.com/p/ampler-bikes-stout/#reviews Bekijk alle reviews https://www.elektrischefietsen.com/p/ampler-bikes-stout/#reviews,/p/ampler-bikes-stout/,2,2,0,0.00
https://www.elektrischefietsen.com/p/amslod-aston-mx/#about Specificaties about-content-tab https://www.elektrischefietsen.com/p/amslod-aston-mx/#about,/p/amslod-aston-mx/,2,2,0,0.00
https://www.elektrischefietsen.com/p/amslod-carlton-sx/# Datum nieuwste - eerste https://www.elektrischefietsen.com/p/amslod-carlton-sx/#,/p/amslod-carlton-sx/,2,2,0,0.00
https://www.elektrischefietsen.com/p/amslod-carlton-sx/#fotos Foto's (7) fotos-content-tab https://www.elektrischefietsen.com/p/amslod-carlton-sx/#fotos,/p/amslod-carlton-sx/,2,2,0,0.00
https://www.elektrischefietsen.com/p/amslod-carlton-sx/#reviews Reviews (1) reviews-content-tab https://www.elektrischefietsen.com/p/amslod-carlton-sx/#reviews,/p/amslod-carlton-sx/,2,2,0,0.00
https://www.elektrischefietsen.com/p/amslod-croft/ Amslod Croft https://www.elektrischefietsen.com/p/amslod-croft/,/?s=amslod,2,2,0,0.00
https://www.elektrischefietsen.com/p/amslod-hamilton-mx/#reviews Reviews (1) reviews-content-tab https://www.elektrischefietsen.com/p/amslod-hamilton-mx/#reviews,/p/amslod-hamilton-mx/,2,2,0,0.00
https://www.elektrischefietsen.com/p/amslod-hilston-lx/#about Specificaties about-content-tab https://www.elektrischefietsen.com/p/amslod-hilston-lx/#about,/p/amslod-hilston-lx/,2,2,0,0.00
https://www.elektrischefietsen.com/p/amslod-venton-lx/#reviews Reviews (1) reviews-content-tab https://www.elektrischefietsen.com/p/amslod-venton-lx/#reviews,/p/amslod-venton-lx/,2,2,0,0.00
