# ----------------------------------------
# elektrischefietsen.com ALLE_DATA
# Top Events
# 20181001-20190812
# ----------------------------------------

Event Label,Page,Total Events,Unique Events,Event Value,Avg. Value
surveymonkey,/p/?frametype[]=elektrische-damesfietsen&motorpositie[]=in-het-achterwiel&motorpositie[]=in-het-midden,2,2,0,0.00
surveymonkey,/p/?frametype[]=elektrische-damesfietsen&motorpositie[]=in-het-midden&accupositie[]=onder-de-bagagedrager,2,0,0,0.00
surveymonkey,/p/?frametype[]=elektrische-damesfietsen&motorpositie[]=in-het-midden&accupositie[]=onder-de-bagagedrager&prijs[]=2000-2500,2,2,0,0.00
surveymonkey,/p/?frametype[]=elektrische-damesfietsen&motorpositie[]=in-het-midden&prijs[]=1500-2000,2,2,0,0.00
surveymonkey,/p/?frametype[]=elektrische-damesfietsen&type[]=e-bike-testwinnaars-2019&motorpositie[]=in-het-midden,2,2,0,0.00
surveymonkey,/p/?frametype[]=elektrische-damesfietsen&type[]=elektrische-damesfietsen&type[]=elektrische-stadsfietsen&motorpositie[]=in-het-midden&accupositie[]=in-het-frame-weggewerkt&aantal_versnellingen[]=traploos,2,2,0,0.00
surveymonkey,/p/?frametype[]=elektrische-damesfietsen&type[]=elektrische-fiets-dames&accupositie[]=onder-de-bagagedrager,2,2,0,0.00
surveymonkey,/p/?frametype[]=elektrische-damesfietsen&type[]=elektrische-fiets-dames&motorpositie[]=ebike-middenmotor,2,2,0,0.00
surveymonkey,/p/?frametype[]=elektrische-damesfietsen&type[]=elektrische-fiets-dames&motorpositie[]=ebike-middenmotor&prijs[]=1500-2000&prijs[]=2000-2500,2,2,0,0.00
surveymonkey,/p/?frametype[]=elektrische-damesfietsen&type[]=elektrische-fiets-dames&motorpositie[]=in-het-midden&accupositie[]=aan-het-frame-zichtbaar&accupositie[]=in-het-frame-weggewerkt,2,2,0,0.00
surveymonkey,/p/?frametype[]=elektrische-damesfietsen&type[]=elektrische-fiets-dames&motorpositie[]=in-het-voorwiel&accupositie[]=onder-de-bagagedrager,2,2,0,0.00
surveymonkey,/p/?frametype[]=elektrische-damesfietsen&type[]=elektrische-fiets-dames&type[]=elektrische-hybridefietsen&motorpositie[]=ebike-middenmotor,2,2,0,0.00
surveymonkey,/p/?frametype[]=elektrische-damesfietsen&type[]=elektrische-fiets-dames&type[]=elektrische-stadsfiets&motorpositie[]=ebike-middenmotor&accupositie[]=aan-het-frame-zichtbaar&accupositie[]=in-het-frame-weggewerkt,2,2,0,0.00
